comment,cleaned_comment,sentiment
I love that this basically a movie about Fernando Alonso and Lewis Hamilton,i love that this basically a movie about fernando alonso and lewis hamilton,Positive
They’re giving motivation to Alonso that you can still be in F1 even if you’re 60 years old.,theyre giving motivation to alonso that you can still be in f1 even if youre 60 years old,Positive
"Radio: Box Box 
Brad: What's in the box?","radio box box 
brad whats in the box",Neutral
Just watched on IMAX. Cinematography is amazing.. you're in for a treat,just watched on imax cinematography is amazing youre in for a treat,Positive
"“Isn’t a has been, is a never was” 
I’m glad Stroll got a reference in the movie","isnt a has been is a never was 
im glad stroll got a reference in the movie",Positive
The song in the trailer is The Chain by Fleetwood Mac. It was the official theme of BBC F1 before the current theme. It's an iconic song.,the song in the trailer is the chain by fleetwood mac it was the official theme of bbc f1 before the current theme its an iconic song,Positive
Appreciate them using The Chain for this trailer. For many UK F1 fans this is the theme for formula one. That bass line is epic.,appreciate them using the chain for this trailer for many uk f1 fans this is the theme for formula one that bass line is epic,Positive
I expected Javier Bardem to say Lisan al-Gaib to Brad Pitt the entire time.,i expected javier bardem to say lisan algaib to brad pitt the entire time,Negative
Basically we saw the whole movie before it's launch,basically we saw the whole movie before its launch,Positive
"The trailer looks like a mashup of every dramatic rivalry/storyline/moment from F1 in the past 20 years. We're gonna get Nico/Alonso vs Hamilton, Grosjean style crash,  and 2007 WDC battle with a 2009 Brawn underdog story.",the trailer looks like a mashup of every dramatic rivalrystorylinemoment from f1 in the past 20 years were gonna get nicoalonso vs hamilton grosjean style crash  and 2007 wdc battle with a 2009 brawn underdog story,Negative
"I can hear it already ""and the Oscar for the best actor in a supporting role goes to...Guenther Steiner!""",i can hear it already and the oscar for the best actor in a supporting role goes toguenther steiner,Positive
"Just saw this in theatres and it was EPIC! Hans Zimmer’s score was incredible. Even as someone who knows nothing about racing, it was an amazing watch, highly recommend!",just saw this in theatres and it was epic hans zimmers score was incredible even as someone who knows nothing about racing it was an amazing watch highly recommend,Positive
"So the plot of this movie is: a retired F1 driver that actually races in WEC, returns in F1 with a new 11th team, teamed with a rookie, and him and his team are gonna win the WDC and the WCC at the first try even if there are so many accidents during the season?

Im gonna watch it","so the plot of this movie is a retired f1 driver that actually races in wec returns in f1 with a new 11th team teamed with a rookie and him and his team are gonna win the wdc and the wcc at the first try even if there are so many accidents during the season

im gonna watch it",Positive
"""isn't a HAAS been, never was"" 🗣🔥🔥🔥",isnt a haas been never was ,Neutral
THE ONLY FILM WHERE PEOPLE ARE GOING TO WATCH THE BACKGROUND ACTORS IYKYK 😅😅😅😅😅😅😅,the only film where people are going to watch the background actors iykyk ,Neutral
Just saw this today. I really enjoyed it. Well worth seeing it in the theater.,just saw this today i really enjoyed it well worth seeing it in the theater,Positive
"Steiner went from team principle to Netflix series MC, to movie star, all in the span of a couple of years. The true goat of F1.",steiner went from team principle to netflix series mc to movie star all in the span of a couple of years the true goat of f1,Positive
"Using the chain as the trailer song is actually the best choice! (For people that don't know, the second part of the song used to be the building blocks for the old BBC F1 theme tune before 2017 I believe)",using the chain as the trailer song is actually the best choice for people that dont know the second part of the song used to be the building blocks for the old bbc f1 theme tune before 2017 i believe,Positive
Zimmer doing the music for this movie is gonna be great!!! 🙌🏼,zimmer doing the music for this movie is gonna be great ,Positive
"Still remember’Rush’ , the best of F1 movie",still rememberrush  the best of f1 movie,Positive
Well 😂,well ,Neutral
More something like if Hülkenberg got a fair shot,more something like if hlkenberg got a fair shot,Positive
😂😂​ @byTrafiken , bytrafiken ,Neutral
"Nah, it's closer to Webber and Vettel (obvs not the same). Fernando was the youngest ever World Champion while he was at McLaren.",nah its closer to webber and vettel obvs not the same fernando was the youngest ever world champion while he was at mclaren,Neutral
Alonso and Stroll,alonso and stroll,Neutral
So true,so true,Positive
Pretty much,pretty much,Positive
while driving for a guy that looks like fernando alonso,while driving for a guy that looks like fernando alonso,Neutral
Basically 😂,basically ,Neutral
Except Alonso wasn't new,except alonso wasnt new,Positive
Except Brad Pitt is actually 20 years older than Lewis,except brad pitt is actually 20 years older than lewis,Positive
Laura Winter would not get this joke…,laura winter would not get this joke,Neutral
"It's actually a remake of the movie ""Driven""",its actually a remake of the movie driven,Neutral
😂,,Neutral
I would say james hunt vs lewis hamilton with the team boss flavio briatore,i would say james hunt vs lewis hamilton with the team boss flavio briatore,Neutral
Oh you LOVE that? I bet that sasaugeeee taste soooo goooood~,oh you love that i bet that sasaugeeee taste soooo goooood,Positive
"no, they race swapped George Russel :P",no they race swapped george russel p,Neutral
"Dude, Retired driver coming back to race in one team with rookie and this team has problems. Its literally Kubica and Russell in 2019, but in Williams was not happy end",dude retired driver coming back to race in one team with rookie and this team has problems its literally kubica and russell in 2019 but in williams was not happy end,Negative
Amalgamation of a bunch of different drivers I would say,amalgamation of a bunch of different drivers i would say,Neutral
"ALO was still pretty much a youngstar when HAM joined him at McLaren 2007. Was ALOs fifth season and he was one of the youngest rookies ever to join F1 in 2003. Kinda doubt this movie's  plot comes even close to what 2007 McLaren F1 had to offer. Also the ""Hunt kind"" of driver Mr. Pitt has to play, is long gone in F1.",alo was still pretty much a youngstar when ham joined him at mclaren 2007 was alos fifth season and he was one of the youngest rookies ever to join f1 in 2003 kinda doubt this movies  plot comes even close to what 2007 mclaren f1 had to offer also the hunt kind of driver mr pitt has to play is long gone in f1,Positive
"basically Pitt is Kubica, and Idris is Russel ;)
2019 session
1:1","basically pitt is kubica and idris is russel 
2019 session
11",Neutral
"Lewis & Fernando are better looking than the actors.
Better to watch real F1 than ""reimagined"" hollywood slop.
& yeah, I know it's Brad Pitt but he's very wrinkly now.","lewis  fernando are better looking than the actors
better to watch real f1 than reimagined hollywood slop
 yeah i know its brad pitt but hes very wrinkly now",Positive
Nico Rosberg definitely,nico rosberg definitely,Neutral
Fernando more,fernando more,Positive
It's obviously Vettel and Hamilton... Alonso finally decided to become a team owner.,its obviously vettel and hamilton alonso finally decided to become a team owner,Neutral
Not really,not really,Negative
"Alonzo was never a ""Never was"". He always performed and conquered",alonzo was never a never was he always performed and conquered,Neutral
​ @chrystiandefaria5947  hahahahahaha😂, chrystiandefaria5947  hahahahahaha,Neutral
"well... no, it's basically a movie about Hulk and Piastri if they were ever teammates, a rookie who has mad talent and a veteran who never had the chance to prove himself in the sport",well no its basically a movie about hulk and piastri if they were ever teammates a rookie who has mad talent and a veteran who never had the chance to prove himself in the sport,Negative
Hamilton vs Rosberg,hamilton vs rosberg,Neutral
Hyped,hyped,Neutral
 @byTrafiken hulkenberg didn’t get one podium while Checo got a few while they were both on the same team. Hulk is just a mid tier driver no way top tier., bytrafiken hulkenberg didnt get one podium while checo got a few while they were both on the same team hulk is just a mid tier driver no way top tier,Positive
and heineken 0.0 lol,and heineken 00 lol,Positive
More realistic than Drive to Survive,more realistic than drive to survive,Positive
alonso is only 3 years older than lewis,alonso is only 3 years older than lewis,Positive
hahahaha so true 😂😂😂😂,hahahaha so true ,Positive
"? Sonny Hayes is a guy ""who never got a chance"" while Alonso was the youngest champion at the time 😭", sonny hayes is a guy who never got a chance while alonso was the youngest champion at the time ,Neutral
 @kimi6341  was thinking something similar, kimi6341  was thinking something similar,Neutral
" @ReyosPL  Kubica - Russell 2019 is actually the best comparison, well done", reyospl  kubica  russell 2019 is actually the best comparison well done,Positive
Without the crying from both sides,without the crying from both sides,Negative
"not really this is a guy that ""never was"" did you not pay attention lol, this is movie is a tribute to guys like hulkenberg or magnussen",not really this is a guy that never was did you not pay attention lol this is movie is a tribute to guys like hulkenberg or magnussen,Positive
" @byTrafiken  Yeah, I thought so too🤔", bytrafiken  yeah i thought so too,Neutral
which ones which😂😂😂,which ones which,Neutral
More like Michael Schumacher and Nico Rosberg at Mercedes,more like michael schumacher and nico rosberg at mercedes,Positive
How?,how,Neutral
 @kuriaspaul  and fernando is still a rookie against an aging lewis, kuriaspaul  and fernando is still a rookie against an aging lewis,Neutral
About Hamilton's success and Alonso's eternal failure,about hamiltons success and alonsos eternal failure,Negative
"Except those two are 3 years apart in age, not 30+",except those two are 3 years apart in age not 30,Neutral
 @kuriaspaul  Wasn't Alonso at Renault for his WDCs?, kuriaspaul  wasnt alonso at renault for his wdcs,Neutral
🤣,,Neutral
Senna vs Prost,senna vs prost,Neutral
 @chrystiandefaria5947 😂 yeah ok 🤣, chrystiandefaria5947  yeah ok ,Positive
"When Hamilton joined McLaren, Alonso was 25 years old.",when hamilton joined mclaren alonso was 25 years old,Positive
61 years old Brad Pitt plays 40 years old ex NASCAR driver who is now F1 driver.,61 years old brad pitt plays 40 years old ex nascar driver who is now f1 driver,Positive
🤣🤣🤣,,Neutral
They’re 3 years apart lol,theyre 3 years apart lol,Positive
If Brat Pitt is Fernando Alonso I'm the Saba Queen!!,if brat pitt is fernando alonso im the saba queen,Neutral
"How? Fernando is like 5 years older then lewis, not 20",how fernando is like 5 years older then lewis not 20,Positive
"HAM is 40, Alonso 43. So they are the slidely the same age.",ham is 40 alonso 43 so they are the slidely the same age,Neutral
Yeah. Fernando won titles though. 😁,yeah fernando won titles though ,Neutral
wrong,wrong,Negative
Fernando is a 2 time world champ tho,fernando is a 2 time world champ tho,Neutral
which is which?,which is which,Neutral
 @kuriaspaul don’t you mean Renault?, kuriaspaul dont you mean renault,Negative
Fernando Alonso did something Lewis Hamilton didn't: he raced in the Indy 500,fernando alonso did something lewis hamilton didnt he raced in the indy 500,Neutral
bro realy said 'basically'😐,bro realy said basically,Neutral
This is clearly the story between Aiden Jackson and Casper Akkerman,this is clearly the story between aiden jackson and casper akkerman,Positive
It’s about checo and max,its about checo and max,Neutral
Don't forget du du du guy 😂😂😂,dont forget du du du guy ,Neutral
Hamilton and rosberg is best,hamilton and rosberg is best,Positive
"Except in the beginning it states “the best that never was” Alonso won championship twice and Lewis has won 7 times so, although older, I definitely wouldn’t say either “missed their shot.”",except in the beginning it states the best that never was alonso won championship twice and lewis has won 7 times so although older i definitely wouldnt say either missed their shot,Positive
Nico rosberg and hamilton u mean,nico rosberg and hamilton u mean,Negative
More like nico and ham,more like nico and ham,Positive
 @deeza85za Fernando…hes a rookie, deeza85za fernandohes a rookie,Neutral
This actor is better than Lewis.,this actor is better than lewis,Positive
😂😂😂😂,,Neutral
"I would say it more closely resembles the movie Driven with Sylvester Stallone. That movie is about a basically retired INDYCAR driver who is hired to help mentor an up and coming superstar rookie. Fun Fact: Driven was supposed to be about F1, but the F1 teams were too afraid to let the cameras into the paddock due to paranoia about secrets being leaked. Bernie was not for it either apparently. Now F1 is basically making a remake of that movie the way it was originally supposed to have been made. Ironic lol.",i would say it more closely resembles the movie driven with sylvester stallone that movie is about a basically retired indycar driver who is hired to help mentor an up and coming superstar rookie fun fact driven was supposed to be about f1 but the f1 teams were too afraid to let the cameras into the paddock due to paranoia about secrets being leaked bernie was not for it either apparently now f1 is basically making a remake of that movie the way it was originally supposed to have been made ironic lol,Positive
" @RStandsForRace 

That’s what I said lol.

A lot of people don’t realize that Driven was originally supposed to be about F1. It is basically a remake."," rstandsforrace 

thats what i said lol

a lot of people dont realize that driven was originally supposed to be about f1 it is basically a remake",Positive
hopefully brad pitt's pit pit crew is on the level in the movie,hopefully brad pitts pit pit crew is on the level in the movie,Neutral
Are you under the impression Fernando was an old veteran in 2007?,are you under the impression fernando was an old veteran in 2007,Positive
Not even close,not even close,Neutral
Rosberg,rosberg,Neutral
"Yeah, very few people care",yeah very few people care,Negative
"Nando and Lewis are mere whipper snapper, ankle biter, rug rats compared to Geriatric Brad  !",nando and lewis are mere whipper snapper ankle biter rug rats compared to geriatric brad  ,Negative
Fernando was 26 when he was teamed up with SLH.,fernando was 26 when he was teamed up with slh,Neutral
I see a fireball. There is a essence of Grosjean.,i see a fireball there is a essence of grosjean,Neutral
Nope. It looks more like a movie about Michael Schumacher and Lewis Hamilton,nope it looks more like a movie about michael schumacher and lewis hamilton,Positive
More like Robert Kubica story.,more like robert kubica story,Positive
 @ReyosPL  Exactly what I said - It's Kubica story., reyospl  exactly what i said  its kubica story,Positive
🤣,,Neutral
 @chrystiandefaria5947 very true. Mighty Alonso is against a young championship contender., chrystiandefaria5947 very true mighty alonso is against a young championship contender,Positive
and Fernando is still racing!,and fernando is still racing,Neutral
this has NOTHING to do with Alonso and Hamilton.,this has nothing to do with alonso and hamilton,Neutral
​ @RStandsForRace  not a remake but a copy, rstandsforrace  not a remake but a copy,Neutral
Alonso was a double world champion at his prime,alonso was a double world champion at his prime,Neutral
"Alonso was in full shape and  prime age. so no, is not about them.",alonso was in full shape and  prime age so no is not about them,Positive
The fighting within the team has got to be the Hamilton/Rosberg era,the fighting within the team has got to be the hamiltonrosberg era,Neutral
"Not that Simple, But yeah I get IT!!!",not that simple but yeah i get it,Neutral
Alonso was already a big hit when Hamilton was in elementary school lol,alonso was already a big hit when hamilton was in elementary school lol,Positive
 @byTrafiken  Was thinking this too!, bytrafiken  was thinking this too,Neutral
Maybe max as well but,maybe max as well but,Neutral
We know who is the better then! HAM,we know who is the better then ham,Positive
 @RStandsForRace I would love to forget that Renny Harlin bomb., rstandsforrace i would love to forget that renny harlin bomb,Positive
Difference is rookie Lewis in 2007 cooked a prime Alonso.,difference is rookie lewis in 2007 cooked a prime alonso,Neutral
you beat me with 12 hours,you beat me with 12 hours,Neutral
It's ripoff of the Stallone movie driven,its ripoff of the stallone movie driven,Neutral
is funny because is true,is funny because is true,Positive
hahahahhahahahahaha,hahahahhahahahahaha,Neutral
I was thinking of rosberg and ham,i was thinking of rosberg and ham,Neutral
 @RStandsForRace  but not filmed in Canada, rstandsforrace  but not filmed in canada,Neutral
Yup but with extra storyline,yup but with extra storyline,Neutral
😂😂😂,,Neutral
Thats just disrespectful to Alonso 😂,thats just disrespectful to alonso ,Neutral
